node,lv1_relation_text
.NET Framework,['.NET Framework is synonym of .Net']
.deb,['.deb is synonym of Debian binary package']
2D Structures,"['2D Structures is subclass of Data Structures', '2D Structures use knowledge of indexes']"
32kadpcm (32 kbps coding),['32kadpcm (32 kbps coding) is subclass of MIME Content Type']
3rd Party Library,['3rd Party Library is subclass of Library']
3rd Party Login,['3rd Party Login is subclass of Cybersecurity']
4+1 View Model,['4+1 View Model is subclass of Architectural Views']
4P's of Project Management,"[""4P's of Project Management is subclass of Software Project Management (SPM)""]"
7 Process Workflows in SPM,"['7 Process Workflows in SPM is subclass of Software Project Management (SPM)', '7 Process Workflows in SPM use knowledge of Deployment Workflow', '7 Process Workflows in SPM use knowledge of Assessment Workflow', '7 Process Workflows in SPM use knowledge of Implementation Workflow', '7 Process Workflows in SPM use knowledge of Design Workflow', '7 Process Workflows in SPM use knowledge of Requirements Workflow', '7 Process Workflows in SPM use knowledge of Environment Workflow', '7 Process Workflows in SPM use knowledge of Management Workflow']"
A Multilayered Privilege Model,['A Multilayered Privilege Model is subclass of Access Control']
A Record,['A Record is subclass of DNS']
ACID,['ACID is subclass of Transaction Management']
ACID Properties,['ACID Properties is subclass of Transaction Management']
ACM Graphics,"['ACM Graphics use knowledge of Interfaces', 'ACM Graphics use knowledge of Java class hierarchy', 'ACM Graphics use knowledge of package']"
AD,['AD is synonym of Active Directory']
AES,['AES is subclass of Symmetric Encryption']
AI,"['AI is synonym of Artificial Intelligence', 'AI use knowledge of Large Language Model (LLM)']"
AI Accelerator,"['AI Accelerator is subclass of Accelerator', 'AI Accelerator is subclass of AI Inference']"
AI Inference,"['AI Inference is subclass of Accelerator', 'AI Inference is subclass of Compute']"
AI-Assisted Test Case Generation,['AI-Assisted Test Case Generation use knowledge of Prompt Engineering']
AJAX,"['AJAX is subclass of Web Development', 'AJAX use knowledge of Javascript']"
ALTER,['ALTER is subclass of Data Definition Language (DDL)']
AMD EPYC,['AMD EPYC is subclass of Processors']
API,"['API is synonym of Application Programming Interface (API)', 'API is synonym of Port/API', 'API is subclass of Software Architecture', 'API is subclass of Writing Methods', 'API use knowledge of REST', 'API use knowledge of REST-API', 'API use knowledge of Postman', 'API use knowledge of JSON', 'API use knowledge of HTTP POST', 'API use knowledge of HTTP GET', 'API use knowledge of Microservices']"
API Design,['API Design is subclass of Software Engineering']
API Testing,"['API Testing is subclass of Software Testing Methodologies', 'API Testing is subclass of Security Testing']"
APIs,"['APIs is synonym of API', 'APIs is subclass of Software Development', 'APIs is subclass of Software Integrations', 'APIs is subclass of Access Modifier', 'APIs use knowledge of Data Requirements', 'APIs use knowledge of Communications', 'APIs use knowledge of Back End Engineering']"
APT,"['APT is subclass of Package Management', 'APT is subclass of Cyber Threat', 'APT use knowledge of apt-cache', 'APT use knowledge of apt-get commands', 'APT use knowledge of Packages']"
ASCII Values,"['ASCII Values is subclass of Strings', 'ASCII Values use knowledge of chr()', 'ASCII Values use knowledge of ord()']"
ASD,['ASD is synonym of Adaptive Software Development (ASD)']
ASP.net,['ASP.net is synonym of ASP.net(.Net Framework)']
ASP.net(.Net Framework),['ASP.net(.Net Framework) is subclass of Framework']
ATM Cash Withdrawal,['ATM Cash Withdrawal is subclass of Transaction Design']
AUP,['AUP is synonym of Agile Unified Process (AUP)']
AWS,"['AWS is synonym of Amazon Web Services', 'AWS is subclass of Cloud Computing']"
AWS Cloudwatch,"['AWS Cloudwatch is synonym of AWS Cloudwatch', 'AWS Cloudwatch is subclass of Graphing']"
Absolute Loaders,['Absolute Loaders is subclass of Program Loading and Execution']
Abstract Classes,"['Abstract Classes is subclass of Classes', 'Abstract Classes use knowledge of Abstract methods']"
Abstract View of Computer System,['Abstract View of Computer System is subclass of Computer System']
Abstract class,['Abstract class is synonym of Abstract Classes']
AbstractButton,"['AbstractButton is subclass of JComponent', 'AbstractButton use knowledge of ActionListener']"
Abstraction,"['Abstraction is subclass of Object-Oriented Programming', 'Abstraction use knowledge of Class', 'Abstraction use knowledge of Object']"
Abstraction Level,['Abstraction Level is synonym of Levels of Abstraction']
Acceptance Test,['Acceptance Test is subclass of Automate Testing']
Acceptance Testing,['Acceptance Testing is synonym of Acceptance Test']
Acceptance testing,['Acceptance testing is subclass of Software Testing']
Access Control,"['Access Control is subclass of Web Application Security', 'Access Control is subclass of Database Management Systems', 'Access Control is subclass of Permission Level']"
Access Control Flaws,"['Access Control Flaws is synonym of Broken Access Control', 'Access Control Flaws is subclass of Vulnerability', 'Access Control Flaws is subclass of Web Application Security', 'Access Control Flaws is subclass of Vulnerabilities', 'Access Control Flaws is subclass of Access Control', 'Access Control Flaws use knowledge of Bypassing a Login', 'Access Control Flaws use knowledge of Authorization Testing']"
Access Latency,['Access Latency is synonym of Average access time']
Access Modifier,"['Access Modifier is subclass of User-Defined Classes', 'Access Modifier is subclass of Object-Oriented Programming (OOP)', 'Access Modifier use knowledge of APIs', 'Access Modifier use knowledge of package access', 'Access Modifier use knowledge of protected', 'Access Modifier use knowledge of private', 'Access Modifier use knowledge of public', 'Access Modifier use knowledge of access rights']"
Access Modifiers,"['Access Modifiers use knowledge of Superclass members', 'Access Modifiers use knowledge of Protected Members', 'Access Modifiers use knowledge of Private members', 'Access Modifiers use knowledge of Public members']"
Access Paths,['Access Paths is subclass of Database Systems']
Access control,"['Access control is subclass of File-System management', 'Access control is subclass of Security', 'Access control use knowledge of Group ID', 'Access control use knowledge of User IDs']"
AccessModifier,['AccessModifier is synonym of Access Modifiers']
Accessing Array Elements,['Accessing Array Elements is subclass of Arrays']
Accessing Characters,"['Accessing Characters is subclass of Strings', 'Accessing Characters is subclass of Indexes']"
Accessing Elements,"['Accessing Elements is subclass of List Operations', 'Accessing Elements use knowledge of out-of-bounds', 'Accessing Elements use knowledge of index']"
Accessing FTP Servers,['Accessing FTP Servers is subclass of FTP']
Accessing Substrings,"['Accessing Substrings is subclass of Strings', 'Accessing Substrings is subclass of Indexes']"
Accessing Two-Dimensional Array Elements,['Accessing Two-Dimensional Array Elements is subclass of Two-Dimensional Arrays']
Accessor Methods,"['Accessor Methods is subclass of Object-Oriented Programming (OOP)', 'Accessor Methods use knowledge of getInstanceVariable']"
